"","take_own","take_matdis","take_bond","take_illchild","take_illspouse","take_illparent","need_own","need_matdis","need_bond","need_illchild","need_illspouse","need_illparent","resp_len"
"1",0.107017587720897,0.0739925948296425,0.0144429819827882,0.0207515113535798,0.0157675827454372,0.0190584304599458,0.0220647880864063,1.14995527463596e-05,0.000256940174850048,0.00348139725213453,0.00675908773900383,0.0163957167569566,0.173653370718929
"4",0.0735679313165672,0.0170135281850931,0.00228245289868432,0.00450837233314069,0.0114238746992021,0.0012923182361775,0.0591668116683114,5.49612081665923e-13,0.000534063302317541,0.00188492555825909,0.0020877667358475,0.00466997829325991,0.143968971123006
"5",0.272024364372372,NA,0.000381351103031504,0.0043359891628348,2.38740829936271e-09,0.0146343577430249,0.032508917558031,NA,5.46975787009038e-07,0.000329287660882237,1.93062498141059e-10,0.00456991033516389,0.0765108222658634
"6",0.0485945714607463,NA,0.0338329318792627,0.0160791099295142,0.00654813012007239,0.00583997191394344,0.0118510786617888,NA,0.00215738211316494,0.00224693327644612,0.000831633814404638,0.000649419610516409,0.0591411731769786
"7",0.085629646612218,NA,0.0472932461195859,0.0138916509323692,0.0114265782284927,0.00397208402755681,0.0191690678956969,NA,0.00307709682292842,0.000947826377492436,0.00513816816833377,0.00330251495923168,0.111548177918494
"8",0.120880350930106,0.00107087845097989,0.000235689825930946,0.00345183855830486,0.0359234575116379,0.025314518214109,0.0271742655202228,2.22044604925031e-16,1.22906841272964e-06,0.000293945633474813,0.00523739968029554,0.0061187599279274,0.10498803972504
"10",0.128948714375727,NA,1.666518265576e-09,1.58270385999258e-09,0.115486785457245,0.0231005991643095,0.00605689150142216,NA,2.94524689086466e-13,0.00065526323684635,0.00837770112282877,0.00447123523521997,0.0705152771332908
"11",0.336989458839585,0.000889050153020858,0.00242659871524949,0.0520240660021636,1.32394048740901e-09,0.0206629978550065,0.0727343850362456,3.8133849771679e-08,1.36199696702129e-06,0.0274046774909351,1.5508155396349e-09,0.0725473633960936,0.25927131668756
"14",0.113452701335744,NA,0.0219315615121918,0.0165640884334622,0.0171564319784023,0.0080529260533604,0.0190103765635409,NA,0.000295213441349783,0.000940567093466949,0.00966315298667453,0.00437602836692156,0.113661880439449
"15",0.17115332625323,0.00151109377231115,0.000874398030573492,0.00377828297759203,0.0461891069707103,0.0278049402552601,0.061492571387392,2.22044604925031e-16,5.21765017015606e-05,0.000924638821981179,0.00927401475500211,0.0116800767955745,0.14369955893858
