,CA,NJ,RI,CA_SE,NJ_SE,RI_SE
take_own,1946916,479585,62154,7253.700418,3448.010521,1391.752456
take_illspouse,206461,64183,7395,2458.012693,1477.046428,445.5995961
take_illchild,425683,97202,12741,3557.922498,1766.069152,616.8612486
take_illparent,679888,169198,19016,3725.788776,1905.588111,618.4732816
take_matdis,857602,186677,24131,5795.652332,2578.11241,824.4070293
take_bond,386337,68130,10910,3783.809218,1571.276981,649.3805895
need_own,533028,114021,13194,4262.084766,1698.338173,677.3291297
need_illspouse,47192,14181,1845,1067.86516,532.7136661,228.7402457
need_illchild,200415,48416,7179,2069.885613,1315.916677,468.3179476
need_illparent,239664,60825,7882,2801.845802,1222.918088,479.7398253
need_matdis,44774,7375,1266,1251.707933,493.1220944,210.2774358
need_bond,26992,5073,712,1003.602237,360.7973808,166.7043791
length_own,3.961892217,4.3251663,4.361083594,0.026686218,0.060917719,0.158080469
length_illspouse,0.193454339,0.254779144,0.265624903,0.004825753,0.010881465,0.038180111
length_illchild,0.341237357,0.324546331,0.341720109,0.008372898,0.015776915,0.049677374
length_illparent,0.741900527,0.811672118,0.818988748,0.012898248,0.023920594,0.066108665
length_matdis,3.330318415,3.187309127,3.345057999,0.031558326,0.068531338,0.171499693
length_bond,0.596576812,0.45602749,0.629876804,0.010378556,0.019807367,0.076723571
actual_benefits,2760398481,600617257.8,66195707.69,33242545.05,11416234.36,2977722.74
