"","Leave Length, Days","Count","Percent"
"1",1,93786.3341861248,0.0539918268199365
"2",2,175987.462347778,0.101314169831014
"3",3,74307.7302108909,0.0427781950936146
"4",4,117426.891169147,0.0676014520348541
"5",5,189410.429510361,0.109041633802616
"6",6,20627.5683544981,0.0118750786879272
"7",7,20906.4436223002,0.0120356243078642
"8",8,38718.6310868721,0.0222899172090329
"9",9,47841.4742475488,0.0275418440735501
"10",10,317783.647685047,0.182944773574029
"11",12,33169.611067921,0.0190954035255255
"12",13,14939.3790204942,0.00860044666284919
"13",14,9581.24351743373,0.00551582322949408
"14",15,172591.010372917,0.0993588674042774
"15",19,21567.3658406692,0.0124161104230887
"16",20,31516.3863505487,0.0181436590799258
"17",22,5910.07338553927,0.0034023683886811
"18",23,7822.73672032719,0.00450346897474057
"19",25,66458.8328784784,0.0382596657238872
"20",28,9476.94932929168,0.00545578213935704
"21",30,100263.944133126,0.057720920162806
"22",40,16860.0412925212,0.00970615215470762
"23",45,64276.4631540807,0.0370032979466489
"24",60,24370.1297958078,0.0140296327704137
"25",68,13146.1921952985,0.00756812747304465
"26",261,48299.9059885504,0.0278057585061134
