"","Leave Length, Days","Count","Percent"
"1",1,26212.3663396518,0.0192113248636062
"2",2,56911.2307989643,0.0417108523930807
"3",3,117909.284238474,0.0864169810000719
"4",4,54280.4519971915,0.0397827263494319
"5",5,145538.885604093,0.10666701263815
"6",6,69002.6361527438,0.0505727732627587
"7",7,50125.8397189447,0.036737766381854
"8",8,12255.9781943485,0.0089825380723727
"9",9,12137.227154692,0.00889550415978463
"10",10,195573.718402678,0.143338079070476
"11",14,9471.12002997913,0.00694148560875614
"12",15,134114.590067137,0.0982940237193166
"13",16,7460.09054646327,0.00546758049780588
"14",20,161641.30441598,0.118468648357587
"15",21,20580.0525551037,0.0150833415885885
"16",23,86889.5917961663,0.0636823151955253
"17",25,58239.4876506314,0.0426843461078045
"18",30,7907.89823495777,0.00579578356305431
"19",40,11131.553704147,0.00815843528493459
"20",45,25503.0560757823,0.0186914637518044
"21",55,8219.4246978862,0.00602410465415225
"22",68,40208.8712392397,0.0294695136549891
"23",90,16179.2097702243,0.0118579166376911
"24",135,29334.5455637145,0.0214996035553753
"25",203,7594.2121080529,0.00556587963102892
