"","length_own","length_matdis","length_bond","length_illchild","length_illparent","length_illspouse","resp_len","unaffordable","recStatePay","weight"
"107",0,0,30,0,0,0,0,NA,0,66538.127381891
"629",248,0,0,0,0,0,1,NA,1,10391.0413727142
"1073",30,0,0,0,0,0,0,NA,1,13099.8813053225
"1649",0,0,0,0,0,0,1,1,NA,20062.4185635436
"2006",0,0,0,0,0,0,0,NA,NA,129234.791722305
"2271",10,0,0,0,0,0,1,NA,0,10916.987824325
"2115",0,0,0,0,0,0,0,0,NA,84781.975680192
"2533",0,0,0,0,0,0,0,NA,NA,93849.0656854455
"900",0,0,60,0,0,0,0,NA,NA,10373.0952806464
"2328",0,0,0,0,0,0,0,NA,NA,70681.7317728691
"1546",0,0,0,0,0,0,0,NA,NA,291665.273473705
"1184",0,0,0,0,0,0,0,NA,NA,15281.9757281529
"61",0,0,0,0,0,25,1,NA,0,20935.8620788152
"2493",0,0,0,0,0,0,1,1,NA,12959.6663778611
"2353",158,0,0,0,0,0,1,NA,0,19168.2257482617
"2656",NA,0,0,0,0,0,1,1,1,10563.2181990348
"703",0,0,0,0,0,0,0,NA,NA,13847.8833179198
"126",0,0,0,0,0,0,0,NA,NA,123420.956357549
"1902",0,0,0,0,0,0,0,NA,NA,35269.6022242749
"2070",25,0,0,0,0,0,0,NA,0,11568.5587001765
"1542",0,0,0,0,0,0,0,NA,NA,38380.4073995942
"2513",0,90,0,0,0,0,1,NA,0,9503.47106105691
"349",0,0,0,0,0,0,0,NA,NA,223781.397634112
"2735",0,0,0,0,0,0,0,NA,NA,53954.282228328
"2713",0,0,0,0,5,0,1,1,0,19793.9581842019
"619",0,0,0,0,0,0,0,NA,NA,91752.377715324
"957",0,0,0,0,0,0,0,NA,NA,47958.7645848427
"933",0,0,0,0,0,0,0,NA,NA,5091.16818635728
"916",0,0,90,0,0,0,1,NA,0,10623.7187819728
"2628",0,0,0,0,0,0,0,NA,NA,12325.9167894237
"1807",0,0,0,0,0,0,0,NA,NA,22297.7408518117
"929",0,0,0,0,0,21,0,NA,0,20580.0525551037
"2497",0,60,0,0,0,0,1,NA,0,13269.6585108196
"2377",30,0,0,0,0,0,1,NA,0,8219.4246978862
"161",0,0,0,7,0,0,1,NA,0,47511.0486506051
"2318",15,0,0,0,0,0,0,NA,0,45165.6281638502
"41",0,0,0,0,0,0,0,NA,NA,14537.5604613491
"2137",10,0,0,0,0,0,1,0,0,16945.7348965624
"84",0,0,0,0,0,0,0,NA,NA,37258.0270396791
"460",0,0,0,0,0,0,0,NA,NA,149262.546473118
"1372",135,0,0,0,0,0,0,NA,0,53992.6431808735
"1527",0,0,0,0,0,0,0,NA,NA,17046.692460311
"112",0,0,0,0,0,0,0,NA,NA,134201.016905628
"2822",0,0,60,0,0,0,0,NA,0,21217.0540377075
"910",0,0,0,0,0,0,0,NA,NA,41927.4618564858
"1086",0,0,0,0,0,0,0,NA,NA,30852.5027154098
"1670",5,0,0,0,0,0,0,NA,0,21188.530197242
"960",0,0,0,0,0,3,0,NA,0,4968.0550317358
"1446",90,0,0,0,0,0,1,0,1,7125.25737182793
"92",0,0,0,0,0,0,1,1,0,29203.8561637358
"421",0,0,0,0,30,0,0,NA,0,4907.98215394853
"1152",0,0,5,0,0,0,1,NA,0,12614.5423582696
"1337",0,0,0,0,0,0,0,NA,NA,75009.1896014069
"2010",15,0,0,0,0,0,1,1,0,12053.8050975496
"1710",0,0,0,0,0,0,0,NA,NA,86929.821010661
"2173",23,0,0,0,0,0,1,NA,0,23027.8294000904
"1351",0,0,3,0,0,0,0,NA,0,87305.0551594871
"1004",0,0,0,0,0,0,0,NA,NA,57078.4255854648
"474",0,0,0,0,0,0,0,0,NA,28919.7260997018
"2349",0,0,0,0,0,0,0,NA,NA,79901.7592435669
"1671",30,0,0,0,0,0,1,NA,0,10623.7187819728
"1841",225,0,0,0,0,0,0,NA,0,6486.21779256967
"478",0,0,0,0,0,0,0,NA,NA,49565.1783559706
"372",0,0,0,0,0,0,0,NA,NA,7964.33097237048
"1491",0,0,0,0,0,0,1,1,NA,16497.7217219124
"2551",0,5,0,0,0,0,1,NA,0,24961.4044588596
"1411",0,0,0,0,60,0,1,0,0,12593.4641164252
"35",5,0,0,0,0,0,0,NA,0,39486.3035791635
"967",0,0,0,0,0,0,0,NA,NA,100754.695143599
"2718",0,0,0,0,0,0,0,NA,NA,184779.639726684
"2135",30,0,0,0,0,0,0,NA,0,22902.1588547631
"400",5,0,0,0,0,0,0,NA,0,35225.9092900103
"940",0,0,0,0,0,0,0,NA,NA,38904.7172710116
"879",0,0,0,0,0,0,0,NA,NA,39162.9408911948
"1452",68,0,0,0,0,0,1,NA,0,11770.6647404374
"350",0,0,0,5,0,0,0,NA,0,26609.334660291
"480",7,0,0,0,0,0,1,NA,0,6880.86482738606
"251",45,0,0,0,0,0,0,NA,NA,34441.6582528959
"1648",3,0,0,0,0,0,0,NA,0,15201.8106231909
"1105",20,0,0,0,0,0,0,NA,0,8351.00069199153
"325",20,0,0,0,0,0,0,NA,0,14663.0191280237
"1840",45,0,0,0,0,0,1,1,0,10415.0258303726
"584",15,0,0,0,0,0,0,NA,0,7456.251000417
"2602",0,0,0,0,0,0,0,NA,NA,156237.404934529
"639",0,0,0,0,0,0,0,NA,NA,74948.9020812056
"2071",0,0,0,0,0,0,0,NA,NA,66466.6116046765
"1729",0,0,0,0,0,0,0,NA,NA,38122.0610074811
"59",0,0,0,0,0,0,0,NA,NA,24663.1534222441
"1685",0,0,0,0,0,0,0,NA,NA,35288.4807705852
"1278",0,0,0,0,0,0,0,0,NA,10947.5975595213
"76",0,0,0,0,0,0,1,NA,0,8718.57869906758
"1404",30,0,0,0,0,0,1,NA,0,7187.58850591186
"1336",0,0,0,0,0,0,1,NA,1,26273.8991177127
"1419",11,0,0,0,0,0,1,1,0,28569.6445028832
"1030",0,0,0,5,0,0,1,NA,0,20051.7417360311
"2190",0,0,0,0,0,0,0,NA,NA,189445.892991535
"2189",45,0,0,0,0,0,0,NA,0,30053.7727415562
"618",0,0,0,0,15,0,1,NA,0,25023.1941547409
"2784",NA,NA,NA,NA,NA,NA,1,0,0,13674.5506331045
"754",0,0,0,0,0,14,0,NA,0,9471.12002997913
"1827",0,0,0,0,0,0,0,NA,NA,157022.747727941
"1617",0,0,0,0,0,0,0,0,NA,24175.6918245872
"535",0,0,0,0,0,10,0,NA,1,17902.8072466286
"1494",0,0,0,0,0,0,0,NA,NA,30599.3886530594
"2536",0,0,0,0,0,0,0,NA,NA,11920.6620766125
"935",0,0,0,0,0,0,0,NA,NA,38698.4610119731
"1114",0,0,0,0,0,0,0,NA,NA,150227.857283952
